dimension,legacy_virtual_cascade,authoritative_network,impact,resolution
topology,Hardcoded 4 reservoirs; names baked into Python source.,Topology-agnostic DAG read from topology_config.yaml (A->B->C->D).,None on the live 4-reservoir cascade; enables N-reservoir extension without code changes.,"Node ids are the live virtual names, mapped to canonical ids via display_name / repository_reference."
routing_delays,"1 day on A->B, B->C, C->D (from four_reservoir_demo.json).","A->B = 2, B->C = 1, C->D = 1 (validated topology_config.yaml).",A->B travel time doubles; upstream flood waves arrive at B one day later.,Adopt the validated 2/1/1 target. Live JSON delays are superseded (documented).
attenuation,None (implicit factor 1.0). No transmission loss ever occurs.,"A->B = 0.90, B->C = 0.85, C->D = 0.80; loss booked as total_routing_loss.",10%/15%/20% of routed volume is lost in transit; downstream routed inflows and terminal flow decrease.,"Adopt the validated attenuation. Losses are explicit and mass-balanced, not silently destroyed."
storage,"storage_mcm, capacity_mcm in MCM. Same units as the network.",storage / capacity in MCM. Identical semantics.,None.,No change. Adapter exposes storage_mcm / capacity_mcm verbatim.
release,release_mcm_day = requested release PLUS forced spill (lumped).,controlled_release and spill are separate fields; total_outflow = controlled_release + spill.,Legacy callers cannot distinguish a controlled release from an overflow.,Adapter keeps release_mcm_day = total_outflow (legacy meaning preserved) and additionally exposes controlled_release_mcm_day and spill_mcm.
spill,Overflow added to release AND routed downstream to the next reservoir.,Non-terminal spill leaves the network entirely (not routed); terminal spill is part of terminal outflow.,"In the legacy cascade, spill at A artificially inflates B's inflow. The network conserves it as a separate outflow term.",Accepted intentional difference; quantified in scenario S2 and covered by tests.
downstream_capacity,Compared against res_D.release_mcm_day (controlled + spill).,Compared against terminal node total_outflow (controlled + spill).,None. Both compare the same quantity at the terminal node (50.0 MCM/day).,No change; current_downstream_flow = network.terminal_outflow.
mass_balance,No global accounting. Water in routing queues and routing losses are not tracked.,Closed global balance: inflow = storage change + terminal outflow + non-terminal spill + routing loss + water in transit.,The live twin gains an auditable conservation law it did not have before.,Exposed via LiveCascadeAdapter.mass_balance_check(); verified < 1e-10 in tests.
units,Gate commands in PERCENT (0-100); storage MCM; flow MCM/day.,Gates internally FRACTION (0.0-1.0); storage MCM; flow MCM/day.,A fraction/percent mix-up would under-release by ~100x.,Single conversion boundary in src/common/units.py; the adapter converts percent->fraction exactly once. Non-finite gates raise instead of failing open.
missing_inputs,KeyError if an inflow or gate entry is absent.,Absent entries default to 0.0 (ReservoirNetwork.step semantics).,Strictly safer; a partially-specified command no longer aborts the live loop.,Adapter follows ReservoirNetwork; documented as an intentional robustness change.
gate_clamping,"Finite out-of-range gate clamped into [0, 100].","Finite out-of-range fraction clamped into [0.0, 1.0]; non-finite raises UnitContractError.",Identical for finite input (both clamp). Non-finite input raises in both implementations.,No behavioural change; both already route through src/common/units.py.
provenance,None.,Every physics parameter carries OBSERVED / VERIFIED / ASSUMED_FOR_PROTOTYPE.,The live twin can now distinguish observed data from prototype assumptions.,Exposed via LiveCascadeAdapter.physics_provenance().
